,roll_yield,near_by,deferred
2013-01-04,-0.09795672522551838,AG1301,AG1306
2013-01-07,-0.09966299389057401,AG1301,AG1306
2013-01-08,-0.09411464333704218,AG1301,AG1306
2013-01-09,-0.09557858559158332,AG1301,AG1306
2013-01-10,-0.09680575546164882,AG1301,AG1306
2013-01-11,-0.09227542730658506,AG1301,AG1306
2013-01-14,-0.09020638820756133,AG1301,AG1306
2013-01-15,-0.09156423831450311,AG1301,AG1306
2013-01-16,-0.09655156203552354,AG1302,AG1306
2013-01-17,-0.09683490660862404,AG1302,AG1306
2013-01-18,-0.09839948512821882,AG1302,AG1306
2013-01-21,-0.09206126548380904,AG1302,AG1306
2013-01-22,-0.0905368579997159,AG1302,AG1306
2013-01-23,-0.08787334341467135,AG1302,AG1306
2013-01-24,-0.08386354718739444,AG1302,AG1306
2013-01-25,-0.08611702410596121,AG1302,AG1306
2013-01-28,-0.08041622197507581,AG1302,AG1306
2013-01-29,-0.08356566119525621,AG1302,AG1306
2013-01-30,-0.08705708244354317,AG1302,AG1306
2013-01-31,-0.08489840856409374,AG1302,AG1306
2013-02-01,-0.08257827688115199,AG1302,AG1306
2013-02-04,-0.0852002921412795,AG1302,AG1306
2013-02-05,-0.0864560137496771,AG1302,AG1306
2013-02-06,-0.08392800651940238,AG1302,AG1306
2013-02-07,-0.08106111821200361,AG1302,AG1306
2013-02-08,-0.08451263090008901,AG1302,AG1306
2013-02-18,-0.08984888461601634,AG1302,AG1306
2013-02-19,-0.09221009603311972,AG1303,AG1306
2013-02-20,-0.0787465438269453,AG1303,AG1306
2013-02-21,-0.08364554373673239,AG1303,AG1306
2013-02-22,-0.07277176427491198,AG1303,AG1306
2013-02-25,-0.060299523723030726,AG1306,AG1312
2013-02-26,-0.06093164900338238,AG1306,AG1312
2013-02-27,-0.062177835105327164,AG1306,AG1312
2013-02-28,-0.06695862684569669,AG1306,AG1312
2013-03-01,-0.062433194990012514,AG1306,AG1312
2013-03-04,-0.06527994641500581,AG1306,AG1312
